nohup: ignoring input
{"step": 1500, "loss": 0.5077001452445984, "train_mean_reward": 0.9701565104166667, "eval_mean_reward": 0.8977722222222223}
{"step": 1510, "loss": 0.4968828558921814, "train_mean_reward": 0.9725002604166667, "eval_mean_reward": 0.8977722222222223}
{"step": 1520, "loss": 0.46686041355133057, "train_mean_reward": 0.9685940104166668, "eval_mean_reward": 0.8894388888888891}
{"step": 1530, "loss": 0.4856908917427063, "train_mean_reward": 0.963906510416667, "eval_mean_reward": 0.8977722222222223}
{"step": 1540, "loss": 0.5018717646598816, "train_mean_reward": 0.963125260416667, "eval_mean_reward": 0.8894388888888891}
{"step": 1550, "loss": 0.5263848900794983, "train_mean_reward": 0.9701565104166667, "eval_mean_reward": 0.8894388888888891}
{"step": 1560, "loss": 0.520879328250885, "train_mean_reward": 0.9693752604166667, "eval_mean_reward": 0.8977722222222223}
{"step": 1570, "loss": 0.5261375904083252, "train_mean_reward": 0.9701565104166668, "eval_mean_reward": 0.8894388888888891}
{"step": 1580, "loss": 0.47461608052253723, "train_mean_reward": 0.9717190104166666, "eval_mean_reward": 0.8977722222222223}
{"step": 1590, "loss": 0.5234913229942322, "train_mean_reward": 0.9725002604166668, "eval_mean_reward": 0.8977722222222223}
{"step": 1600, "loss": 0.4746876060962677, "train_mean_reward": 0.9685940104166667, "eval_mean_reward": 0.8977722222222223}
{"step": 1610, "loss": 0.48818063735961914, "train_mean_reward": 0.9678127604166669, "eval_mean_reward": 0.8977722222222223}
{"step": 1620, "loss": 0.4881138801574707, "train_mean_reward": 0.9670315104166668, "eval_mean_reward": 0.8977722222222223}
{"step": 1630, "loss": 0.5478376746177673, "train_mean_reward": 0.9639065104166669, "eval_mean_reward": 0.8977722222222223}
{"step": 1640, "loss": 0.4881720244884491, "train_mean_reward": 0.9662502604166667, "eval_mean_reward": 0.8977722222222223}
{"step": 1650, "loss": 0.49088484048843384, "train_mean_reward": 0.9678127604166669, "eval_mean_reward": 0.8977722222222223}
{"step": 1660, "loss": 0.49073854088783264, "train_mean_reward": 0.9701565104166666, "eval_mean_reward": 0.8977722222222223}
{"step": 1670, "loss": 0.504345178604126, "train_mean_reward": 0.9709377604166666, "eval_mean_reward": 0.8977722222222223}
{"step": 1680, "loss": 0.5178725719451904, "train_mean_reward": 0.9678127604166669, "eval_mean_reward": 0.8977722222222223}
{"step": 1690, "loss": 0.49615979194641113, "train_mean_reward": 0.9685940104166667, "eval_mean_reward": 0.8977722222222223}
{"step": 1700, "loss": 0.4988568425178528, "train_mean_reward": 0.9725002604166667, "eval_mean_reward": 0.8977722222222223}
{"step": 1710, "loss": 0.531364917755127, "train_mean_reward": 0.9670315104166669, "eval_mean_reward": 0.8977722222222223}
{"step": 1720, "loss": 0.5177811980247498, "train_mean_reward": 0.9678127604166669, "eval_mean_reward": 0.8977722222222223}
{"step": 1730, "loss": 0.5096431374549866, "train_mean_reward": 0.9717190104166666, "eval_mean_reward": 0.8977722222222223}
{"step": 1740, "loss": 0.5231773853302002, "train_mean_reward": 0.9709377604166667, "eval_mean_reward": 0.8977722222222223}
{"step": 1750, "loss": 0.5258955359458923, "train_mean_reward": 0.9685940104166668, "eval_mean_reward": 0.8977722222222223}
{"step": 1760, "loss": 0.501509964466095, "train_mean_reward": 0.9685940104166668, "eval_mean_reward": 0.8977722222222223}
{"step": 1770, "loss": 0.5258532166481018, "train_mean_reward": 0.9670315104166669, "eval_mean_reward": 0.8977722222222223}
{"step": 1780, "loss": 0.5042179226875305, "train_mean_reward": 0.9709377604166666, "eval_mean_reward": 0.8977722222222223}
{"step": 1790, "loss": 0.5096176266670227, "train_mean_reward": 0.9740627604166666, "eval_mean_reward": 0.8977722222222223}
{"step": 1800, "loss": 0.525890588760376, "train_mean_reward": 0.9685940104166668, "eval_mean_reward": 0.8977722222222223}
{"step": 1810, "loss": 0.5123026967048645, "train_mean_reward": 0.9740627604166666, "eval_mean_reward": 0.8977722222222223}
